"GEOID","NAME","variable","estimate","moe"
"06053","Monterey County, California","B01003_001",437613,NA
"06055","Napa County, California","B01003_001",134869,NA
"06057","Nevada County, California","B01003_001",102481,NA
"06059","Orange County, California","B01003_001",3165820,NA
"06061","Placer County, California","B01003_001",419156,NA
"06063","Plumas County, California","B01003_001",19423,NA
"06065","Riverside County, California","B01003_001",2478600,NA
"06067","Sacramento County, California","B01003_001",1594006,NA
"06069","San Benito County, California","B01003_001",67290,NA
"06071","San Bernardino County, California","B01003_001",2197104,NA
"06073","San Diego County, California","B01003_001",3288774,NA
"06075","San Francisco County, California","B01003_001",830235,NA
"06077","San Joaquin County, California","B01003_001",797334,NA
"06079","San Luis Obispo County, California","B01003_001",281555,NA
"06081","San Mateo County, California","B01003_001",742340,NA
"06083","Santa Barbara County, California","B01003_001",443701,NA
"06085","Santa Clara County, California","B01003_001",1902047,NA
"06087","Santa Cruz County, California","B01003_001",264926,NA
"06089","Shasta County, California","B01003_001",181436,NA
"06091","Sierra County, California","B01003_001",2746,239
"06093","Siskiyou County, California","B01003_001",43466,NA
"06095","Solano County, California","B01003_001",451918,NA
"06097","Sonoma County, California","B01003_001",485040,NA
"06099","Stanislaus County, California","B01003_001",553990,NA
"06101","Sutter County, California","B01003_001",98857,NA
"06103","Tehama County, California","B01003_001",65167,NA
"06105","Trinity County, California","B01003_001",15860,NA
"06107","Tulare County, California","B01003_001",478693,NA
"06109","Tuolumne County, California","B01003_001",54498,NA
"06111","Ventura County, California","B01003_001",837469,NA
"06113","Yolo County, California","B01003_001",220564,NA
"06115","Yuba County, California","B01003_001",84507,NA
"08001","Adams County, Colorado","B01003_001",530225,NA
"08003","Alamosa County, Colorado","B01003_001",16581,NA
"08005","Arapahoe County, Colorado","B01003_001",659844,NA
"08007","Archuleta County, Colorado","B01003_001",13900,NA
"08009","Baca County, Colorado","B01003_001",3428,NA
"08011","Bent County, Colorado","B01003_001",5549,NA
"08013","Boulder County, Colorado","B01003_001",328961,NA
"08014","Broomfield County, Colorado","B01003_001",76304,NA
"08015","Chaffee County, Colorado","B01003_001",20178,NA
"08017","Cheyenne County, Colorado","B01003_001",1741,133
"08019","Clear Creek County, Colorado","B01003_001",9262,NA
"08021","Conejos County, Colorado","B01003_001",7530,NA
"08023","Costilla County, Colorado","B01003_001",3607,NA
"08025","Crowley County, Colorado","B01003_001",5647,NA
"08027","Custer County, Colorado","B01003_001",5247,NA
"08029","Delta County, Colorado","B01003_001",31598,NA
"08031","Denver County, Colorado","B01003_001",718877,NA
"08033","Dolores County, Colorado","B01003_001",2432,NA
"08035","Douglas County, Colorado","B01003_001",377150,NA
"08037","Eagle County, Colorado","B01003_001",55135,NA
"08039","Elbert County, Colorado","B01003_001",27874,NA
"08041","El Paso County, Colorado","B01003_001",742999,NA
"08043","Fremont County, Colorado","B01003_001",49634,NA
"08045","Garfield County, Colorado","B01003_001",62479,NA
"08047","Gilpin County, Colorado","B01003_001",5901,NA
"08049","Grand County, Colorado","B01003_001",15895,NA
"08051","Gunnison County, Colorado","B01003_001",17241,NA
"08053","Hinsdale County, Colorado","B01003_001",1005,117
"08055","Huerfano County, Colorado","B01003_001",6972,NA
"08057","Jackson County, Colorado","B01003_001",1372,122
"08059","Jefferson County, Colorado","B01003_001",579377,NA
"08061","Kiowa County, Colorado","B01003_001",1376,122
"08063","Kit Carson County, Colorado","B01003_001",7023,NA
"08065","Lake County, Colorado","B01003_001",7380,NA
"08067","La Plata County, Colorado","B01003_001",56331,NA
"08069","Larimer County, Colorado","B01003_001",367368,NA
"08071","Las Animas County, Colorado","B01003_001",14413,NA
"08073","Lincoln County, Colorado","B01003_001",5550,NA
"08075","Logan County, Colorado","B01003_001",20892,NA
"08077","Mesa County, Colorado","B01003_001",158601,NA
"08079","Mineral County, Colorado","B01003_001",729,113
"08081","Moffat County, Colorado","B01003_001",13207,NA
"08083","Montezuma County, Colorado","B01003_001",26412,NA
"08085","Montrose County, Colorado","B01003_001",43807,NA
"08087","Morgan County, Colorado","B01003_001",29520,NA
"08089","Otero County, Colorado","B01003_001",18321,NA
"08091","Ouray County, Colorado","B01003_001",5087,NA
"08093","Park County, Colorado","B01003_001",17907,NA
"08095","Phillips County, Colorado","B01003_001",4496,NA
"08097","Pitkin County, Colorado","B01003_001",16985,NA
"08099","Prowers County, Colorado","B01003_001",11910,NA
"08101","Pueblo County, Colorado","B01003_001",169356,NA
"08103","Rio Blanco County, Colorado","B01003_001",6544,NA
"08105","Rio Grande County, Colorado","B01003_001",11321,NA
"08107","Routt County, Colorado","B01003_001",25084,NA
"08109","Saguache County, Colorado","B01003_001",6580,NA
"08111","San Juan County, Colorado","B01003_001",724,107
"08113","San Miguel County, Colorado","B01003_001",7968,NA
"08115","Sedgwick County, Colorado","B01003_001",2304,133
"08117","Summit County, Colorado","B01003_001",31017,NA
"08119","Teller County, Colorado","B01003_001",24825,NA
"08121","Washington County, Colorado","B01003_001",4831,NA
"08123","Weld County, Colorado","B01003_001",350396,NA
"08125","Yuma County, Colorado","B01003_001",9979,NA
"09110","Capitol Planning Region, Connecticut","B01003_001",977290,NA
"09120","Greater Bridgeport Planning Region, Connecticut","B01003_001",329259,NA
"09130","Lower Connecticut River Valley Planning Region, Connecticut","B01003_001",175822,NA
"09140","Naugatuck Valley Planning Region, Connecticut","B01003_001",454969,NA
"09150","Northeastern Connecticut Planning Region, Connecticut","B01003_001",96312,NA
"09160","Northwest Hills Planning Region, Connecticut","B01003_001",113216,NA
"09170","South Central Connecticut Planning Region, Connecticut","B01003_001",570598,NA
"09180","Southeastern Connecticut Planning Region, Connecticut","B01003_001",279971,NA
"09190","Western Connecticut Planning Region, Connecticut","B01003_001",627071,NA
"10001","Kent County, Delaware","B01003_001",187604,NA
"10003","New Castle County, Delaware","B01003_001",577961,NA
"10005","Sussex County, Delaware","B01003_001",255626,NA
"11001","District of Columbia, District of Columbia","B01003_001",681294,NA
"12001","Alachua County, Florida","B01003_001",285492,NA
"12003","Baker County, Florida","B01003_001",28430,NA
"12005","Bay County, Florida","B01003_001",186393,NA
"12007","Bradford County, Florida","B01003_001",27885,NA
"12009","Brevard County, Florida","B01003_001",632780,NA
"12011","Broward County, Florida","B01003_001",1977129,NA
"12013","Calhoun County, Florida","B01003_001",13492,NA
"12015","Charlotte County, Florida","B01003_001",201064,NA
"12017","Citrus County, Florida","B01003_001",162472,NA
"12019","Clay County, Florida","B01003_001",227584,NA
